Date,Ad_name,Brand_Name,Languange,Funnel_Type,Convertions_Objective,Targeting_Type,Ads_Set,Format,Key_Message,Ads_Element,Amount_spent,Purchase_ZLP,Purchase_ZLF,SignUp,Landing_page_views,Link_clicks,Impressions,Reach
4/22/2023,Zurich ZLF_id_tf_wc_sd_Broad IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Broad IG,vid,Musibah,video ramadhan,77,0,0,0,0,0,4,4
4/14/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,vid,Musibah,video ramadhan,5755,0,0,0,0,0,60,57
4/15/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,vid,Musibah,video ramadhan,10116,0,0,2,1,3,250,247
4/16/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,vid,Musibah,video ramadhan,272,0,0,0,0,0,6,6
4/17/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,vid,Musibah,video ramadhan,559,0,0,0,0,0,3,3
4/18/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,vid,Musibah,video ramadhan,557,0,0,0,0,0,4,4
4/19/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,vid,Musibah,video ramadhan,556,0,0,0,0,0,4,4
4/20/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,vid,Musibah,video ramadhan,547,0,0,0,0,0,5,5
4/21/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,vid,Musibah,video ramadhan,858,0,0,0,0,0,6,6
4/22/2023,Zurich ZLF_id_mf_wc_sd_Healthcare_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,mf,wc,sd,Healthcare,vid,Musibah,video ramadhan,41,0,0,0,0,0,1,1
4/15/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,vid,Musibah,video ramadhan,20504,0,0,0,0,0,578,552
4/16/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,vid,Musibah,video ramadhan,7689,0,0,0,0,0,40,37
4/17/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,vid,Musibah,video ramadhan,1724,0,0,0,0,0,26,25
4/18/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,vid,Musibah,video ramadhan,4452,0,0,0,0,0,63,54
4/19/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,vid,Musibah,video ramadhan,681,0,0,0,0,1,29,27
4/20/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,vid,Musibah,video ramadhan,4195,0,0,0,0,0,43,38
4/21/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,vid,Musibah,video ramadhan,980,0,0,0,0,0,30,24
4/22/2023,Zurich ZLF_id_tf_wc_sd_General Insurance IG_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,General Insurance IG,vid,Musibah,video ramadhan,45,0,0,0,0,0,4,4
4/14/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,vid,Musibah,video ramadhan,3933,0,0,0,0,1,74,71
4/15/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,vid,Musibah,video ramadhan,19623,0,0,0,2,2,321,305
4/16/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,vid,Musibah,video ramadhan,11871,0,0,0,0,0,67,62
4/17/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,vid,Musibah,video ramadhan,6104,0,0,0,2,1,48,45
4/18/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,vid,Musibah,video ramadhan,3615,0,0,0,0,0,74,71
4/19/2023,Zurich ZLF_id_tf_wc_sd_Sign Up Narrow Parents_vid_Musibah_video ramadhan_RevoU_14042023,Zurich ZLF,id,tf,wc,sd,Sign Up Narrow Parents,vid,Musibah,video ramadhan,6564,0,0,0,0,1,54,50
